# copyright(c)Jorg Peters [jorg.peters@gmail.com]
.2500000000,0,0,0,0,0,0,0,0,0,0,0,.2500000000,.2500000000,.2500000000
.2083333333,0,0,0,0,0,0,0,0,0,0,0,.2916666667,.2083333333,.2916666667
.1718750000,0,0,0,0,0,0,0,0,0,.5208333332e-2,.5208333332e-2,.3229166667,.1718750000,.3229166667
.1406250000,0,0,0,0,0,0,0,0,0,.1562500000e-1,.1562500000e-1,.3437500000,.1406250000,.3437500000
.2916666667,0,0,0,0,0,0,0,0,0,0,0,.2083333333,.2083333333,.2916666667
.2430555556,0,0,0,0,0,0,0,0,0,0,0,.2430555556,.1614603905,.3524284985
.2020396734,0,0,0,0,0,0,0,0,0,.7595228970e-2,.5859117858e-2,.2599841818,.1265219258,.3979998723
.1674798901,0,0,0,0,0,0,0,0,0,.2164655685e-1,.1415996340e-1,.2659539922,.1001005491,.4306590482
.3229166667,.5208333332e-2,.5208333332e-2,0,0,0,0,0,0,0,0,0,.1718750000,.1718750000,.3229166667
.2599841818,.5859117858e-2,.7595228970e-2,0,0,0,0,0,0,0,0,0,.2020396734,.1265219258,.3979998723
.2105677852,.4827682319e-2,.8733907641e-2,.677537582e-4,.9894724018e-3,.801380007e-4,.5004635076e-3,.801380007e-4,.9894724025e-3,.677537582e-4,.8733907641e-2,.4827682318e-2,.2105677852,.9487354838e-1,.4540925095
.1713847616,.3850407762e-2,.9430884436e-2,.1032382564e-3,.1568372375e-2,.1966618536e-3,.8374985433e-3,.8756917760e-4,.2644152032e-2,.3097974131e-3,.2279764253e-1,.1064168407e-1,.2103920234,.7264804440e-1,.4931072618
.3437500000,.1562500000e-1,.1562500000e-1,0,0,0,0,0,0,0,0,0,.1406250000,.1406250000,.3437500000
.2659539922,.1415996340e-1,.2164655685e-1,0,0,0,0,0,0,0,0,0,.1674798901,.1001005491,.4306590482
.2103920234,.1064168407e-1,.2279764253e-1,.3097974131e-3,.2644152033e-2,.8756917760e-4,.8374985433e-3,.1966618536e-3,.1568372375e-2,.1032382564e-3,.9430884436e-2,.3850407762e-2,.1713847616,.7264804440e-1,.4931072618
.1670263013,.7838597644e-2,.2278567183e-1,.502746694e-3,.5037773355e-2,.3140644093e-3,.2570896352e-2,.3140644093e-3,.5037773355e-2,.502746694e-3,.2278567183e-1,.7838597644e-2,.1670263014,.5381244084e-1,.5366063523
.3437500000,.1562500000e-1,.1562500000e-1,0,0,0,0,0,0,0,0,0,.1406250000,.1406250000,.3437500000
.2659539922,.1415996340e-1,.2164655685e-1,0,0,0,0,0,0,0,0,0,.1674798901,.1001005491,.4306590482
.2103920234,.1064168407e-1,.2279764253e-1,.3097974131e-3,.2644152033e-2,.8756917760e-4,.8374985433e-3,.1966618536e-3,.1568372375e-2,.1032382564e-3,.9430884436e-2,.3850407762e-2,.1713847616,.7264804440e-1,.4931072618
.1670263013,.7838597644e-2,.2278567183e-1,.502746694e-3,.5037773355e-2,.3140644093e-3,.2570896352e-2,.3140644093e-3,.5037773355e-2,.502746694e-3,.2278567183e-1,.7838597644e-2,.1670263014,.5381244084e-1,.5366063523
.3645833333,.2604166668e-1,.2604166668e-1,0,0,0,0,0,0,0,0,0,.1093750000,.1093750000,.3645833333
